PointID,SiteNames,Easting,Northing,LocationNotes,CoordinateNotes,MeasuringPoint,WD_MPHeight,WellDepth,WL_MPHeight,DateMeasured,DepthToWater,LevelStatus,MeasurementMethod,SiteNotes,EquipmentType,Model,SerialNo,HangingCableLength,RecordingInterval,DateInstalled,EquipmentNotes
MB-0003,Franzoy E well,251004,3574067,"From intersection of Gold and Pine St in Deming go E on NM-549 for 4.5 mi, then left on NM-337 E. Go 2.4 mi then left on road into farm for 0.5 mi. Well is E of the house.",,Port at well head.,1,400,1,2024-07-09,,P,,Had been pumping for days.,,,,,,,
NM-01941,Franzoy Domestic,239658,3545594,"1.31 mi south on NM11 from intersection at Pine & Gold in Deming, right on Brazil Rd CR C010, south 4.7 miles, Sweetser property on left east, house, several barns. Well is on north side of property north of small pump(?) house.",Elevation from 4.5m SPADTM,Port on west side of big outer casing.  (USGS WLs reported bgs.),0.85,200,0,1958-02-24,46.5,P,U,,,,,,,,
NM-01941,Franzoy Domestic,239658,3545594,"1.31 mi south on NM11 from intersection at Pine & Gold in Deming, right on Brazil Rd CR C010, south 4.7 miles, Sweetser property on left east, house, several barns. Well is on north side of property north of small pump(?) house.",Elevation from 4.5m SPADTM,Port on west side of big outer casing.  (USGS WLs reported bgs.),0.85,200,0,1958-12-12,43.71,,S,,,,,,,,
NM-01941,Franzoy Domestic,239658,3545594,"1.31 mi south on NM11 from intersection at Pine & Gold in Deming, right on Brazil Rd CR C010, south 4.7 miles, Sweetser property on left east, house, several barns. Well is on north side of property north of small pump(?) house.",Elevation from 4.5m SPADTM,Port on west side of big outer casing.  (USGS WLs reported bgs.),0.85,200,0,1962-06-20,76.2,P,S,,,,,,,,
NM-01941,Franzoy Domestic,239658,3545594,"1.31 mi south on NM11 from intersection at Pine & Gold in Deming, right on Brazil Rd CR C010, south 4.7 miles, Sweetser property on left east, house, several barns. Well is on north side of property north of small pump(?) house.",Elevation from 4.5m SPADTM,Port on west side of big outer casing.  (USGS WLs reported bgs.),0.85,200,0,1973-03-20,116.81,P,S,,,,,,,,
NM-01941,Franzoy Domestic,239658,3545594,"1.31 mi south on NM11 from intersection at Pine & Gold in Deming, right on Brazil Rd CR C010, south 4.7 miles, Sweetser property on left east, house, several barns. Well is on north side of property north of small pump(?) house.",Elevation from 4.5m SPADTM,Port on west side of big outer casing.  (USGS WLs reported bgs.),0.85,200,0,1982-01-28,58.9,,U,,,,,,,,
NM-01941,Franzoy Domestic,239658,3545594,"1.31 mi south on NM11 from intersection at Pine & Gold in Deming, right on Brazil Rd CR C010, south 4.7 miles, Sweetser property on left east, house, several barns. Well is on north side of property north of small pump(?) house.",Elevation from 4.5m SPADTM,Port on west side of big outer casing.  (USGS WLs reported bgs.),0.85,200,0,1987-01-21,63.96,,U,,,,,,,,
NM-01941,Franzoy Domestic,239658,3545594,"1.31 mi south on NM11 from intersection at Pine & Gold in Deming, right on Brazil Rd CR C010, south 4.7 miles, Sweetser property on left east, house, several barns. Well is on north side of property north of small pump(?) house.",Elevation from 4.5m SPADTM,Port on west side of big outer casing.  (USGS WLs reported bgs.),0.85,200,0,1992-02-06,68.24,,U,,,,,,,,
NM-01941,Franzoy Domestic,239658,3545594,"1.31 mi south on NM11 from intersection at Pine & Gold in Deming, right on Brazil Rd CR C010, south 4.7 miles, Sweetser property on left east, house, several barns. Well is on north side of property north of small pump(?) house.",Elevation from 4.5m SPADTM,Port on west side of big outer casing.  (USGS WLs reported bgs.),0.85,200,0,1997-01-30,69.86,,S,,,,,,,,
NM-01941,Franzoy Domestic,239658,3545594,"1.31 mi south on NM11 from intersection at Pine & Gold in Deming, right on Brazil Rd CR C010, south 4.7 miles, Sweetser property on left east, house, several barns. Well is on north side of property north of small pump(?) house.",Elevation from 4.5m SPADTM,Port on west side of big outer casing.  (USGS WLs reported bgs.),0.85,200,0,2002-01-22,72.57,,S,,,,,,,,
