SourceTable,PointID,MeasuringAgency,DataSource
WellData,AR-0031,,Some chemistry from EPA via NM Health Dept.
WellData,AR-0044,,Chemistry data from EPA via NM Health Dept.
WaterLevels,AR-0052,NMOSE,A
WaterLevels,AR-0053,NMOSE,A
WaterLevels,AR-0054,NMOSE,A
WaterLevels,AR-0055,NMOSE,A
WaterLevels,AR-0056,NMOSE,A
WellData,AR-0056,,Chemistry from EPA via NM Health Dept.
WaterLevels,AR-0057,NMOSE,A
WaterLevels,AR-0058,NMOSE,A
WaterLevels,AR-0059,NMOSE,A
WaterLevels,AR-0060,NMOSE,A
WaterLevels,AR-0061,NMOSE,A
WaterLevels,AR-0062,NMOSE,A
WaterLevels,AR-0063,NMOSE,A
WaterLevels,AR-0064,NMOSE,A
WaterLevels,AR-0065,NMOSE,A
WaterLevels,AR-0066,NMOSE,A
WaterLevels,AR-0067,NMOSE,A
WaterLevels,AR-0068,NMOSE,A
WaterLevels,AR-0069,NMOSE,A
WaterLevels,AR-0070,NMOSE,A
WaterLevels,AR-0071,NMOSE,A
WaterLevels,AR-0072,NMOSE,A
WaterLevels,AR-0073,NMOSE,A
WaterLevels,AR-0074,USGS,A
WaterLevels,AR-0075,USGS,A
WaterLevels,AR-0076,USGS,A
WaterLevels,AR-0077,USGS,A
WellData,AR-0077,,Pretty certain C011 is Burns EPA sample.
WaterLevels,AR-0078,USGS,A
WaterLevels,AR-0079,USGS,A
WaterLevels,AR-0080,USGS,A
WellData,AR-0080,,Full EPA ID #TB-B023-150814-021
WaterLevels,AR-0081,USGS,A
WaterLevels,AR-0082,USGS,A
WaterLevels,AR-0083,USGS,A
WaterLevels,AR-0084,USGS,A
WaterLevels,AR-0085,USGS,A
WaterLevels,AR-0086,USGS,A
WaterLevels,AR-0087,USGS,A
WaterLevels,AR-0088,USGS,A
WaterLevels,AR-0089,USGS,A
WaterLevels,AR-0090,USGS,A
WaterLevels,AR-0091,USGS,A
WaterLevels,AR-0092,USGS,A
WaterLevels,AR-0093,USGS,A
WaterLevels,AR-0094,USGS,A
WaterLevels,AR-0095,USGS,A
WaterLevels,AR-0096,USGS,A
WaterLevels,AR-0097,USGS,A
WaterLevels,AR-0098,USGS,A
WaterLevels,AR-0099,USGS,A
WaterLevels,AR-0100,USGS,A
WaterLevels,AR-0101,USGS,A
WellData,AR-0101,,Full EPA ID #TB-B011-150811-21
WaterLevels,AR-0102,USGS,A
WellData,AR-0102,,Full EPA ID #TD-D001-150812-21
WaterLevels,AR-0103,USGS,A
WaterLevels,AR-0104,USGS,A
WaterLevels,AR-0105,USGS,A
WaterLevels,AR-0106,USGS,A
WaterLevels,AR-0107,USGS,A
WaterLevels,AR-0108,USGS,A
WaterLevels,AR-0109,USGS,A
WellData,AR-0109,,Full EPA ID #TD-D003-150812-21
WaterLevels,AR-0110,USGS,A
WaterLevels,AR-0111,USGS,A
WaterLevels,AR-0112,USGS,A
WaterLevels,AR-0113,USGS,A
WellData,AR-0113,,Chemistry from EPA via NM Health Dept.
WaterLevels,AR-0114,USGS,A
WaterLevels,AR-0115,USGS,A
WaterLevels,AR-0116,USGS,A
WellData,AR-0120,,Source data for this location is from the US EPA.
WellData,AR-0122,,Source data for this location is from the US EPA.
WellData,AR-0132,,Source data for this location is from the US EPA.
WellData,AR-0148,,Source data for this location is from the US EPA.
WellData,AR-0151,,Source data for this location is from the US EPA.
WellData,AR-0156,,Source data for some chemistry for this location is from the US EPA.
WellData,AR-0161,,Source data for this location is from the US EPA.
WellData,AR-0166,,Source data for this location is from the US EPA.
WellData,AR-0173,,Source data for this location is from the US EPA.
WellData,AR-0181,,Source data for this location is from the US EPA.
WellData,AR-0187,,Source data for this location is from the US EPA.
WellData,AR-0194,,Source data for this location is from the US EPA.
WellData,AR-0198,,Source data for this location is from the US EPA.
WaterLevels,BC-0166,Bernalillo Cty,A
WaterLevels,BC-0166,Bernalillo Cty,A
WaterLevels,BC-0166,Bernalillo Cty,A
WaterLevels,BC-0166,Bernalillo Cty,A
WaterLevels,BC-0166,Bernalillo Cty,A
WaterLevels,BC-0166,Bernalillo Cty,A
WaterLevels,BC-0166,USGS,A
WaterLevels,BC-0166,Bernalillo Cty,A
WaterLevels,BC-0166,Bernalillo Cty,A
WaterLevels,BC-0166,Bernalillo Cty,A
WaterLevels,BC-0166,Bernalillo Cty,A
WaterLevels,BC-0166,Bernalillo Cty,A
WaterLevels,BC-0166,Bernalillo Cty,A
WaterLevels,BC-0166,Bernalillo Cty,A
WaterLevels,BC-0166,Bernalillo Cty,A
WaterLevels,BC-0166,Bernalillo Cty,A
WaterLevels,BC-0166,Bernalillo Cty,A
WaterLevels,BC-0166,Bernalillo Cty,A
WaterLevels,BC-0166,Bernalillo Cty,A
WaterLevels,BC-0166,Bernalillo Cty,A
WaterLevels,BC-0166,Bernalillo Cty,A
WaterLevels,BC-0166,Bernalillo Cty,A
WaterLevels,BC-0166,Bernalillo Cty,A
WaterLevels,BC-0166,Bernalillo Cty,A
WellData,BC-0166,,"1) Bernalillo County, Sara Chudnoff; 2) San Pedro Creek Estates HOA"
WellData,CP-0004,,NMED SWP Atlas online
WellData,CP-0005,,NMED SWP Atlas online
WellData,CP-0007,,NMED SWP Atlas online
WellData,CP-0008,,Inventoried previously on 4/21/2015 as part of Clovis-Portales project
WellData,CP-0013,,NMED SWP Atlas online
WellData,CP-0014,,NMED SWP Atlas online
WellData,CP-0019,,Inventoried previously on 6/2/2015 as part of Clovis-Portales project
WellData,EB-001,,"Cooper, D. R., 1995, Geohydrology Report for Cottonwood Ranch Subdn, Santa Fe Cty, NM, April 1995"
WellData,EB-019,,"Frost, 1996, Santa Fe Cnty Ground Water Levels, 1995-96 Results; GWSI; USGS log books; well record"
WellData,EB-127,,"David N Jenkins, Geohydrology of the Vista Subdivision, Santa Fe County, Dec 1979"
WellData,EB-132,,"David N Jenkins, Geohydrology of the Vista Subdivision, Santa Fe County, Dec 1979"
WellData,EB-165,,Well log/record by GGI; field check by Johnson
WellData,EB-172,,Field check by Johnson; well log
WaterLevels,EB-220,USGS,A
WaterLevels,EB-220,USGS,A
WaterLevels,EB-220,USGS,A
WaterLevels,EB-220,USGS,A
WaterLevels,EB-220,USGS,A
WaterLevels,EB-220,USGS,A
WellData,EB-220,,GWSI; field check by Johnson
WaterLevels,EB-223,USGS,A
WaterLevels,EB-223,USGS,A
WellData,EB-223,,GWSI; well record; field check by Johnson
WellData,EB-303,,"Field check by Johnson; Kuckleman Pump Service, report of visit 7/2/98"
WellData,EB-304,,"Field check by Johnson; Kuckleman Pump Service, report of visit 2/14/2002"
WellData,EB-305,,Field check by Johnson
WellData,EB-306,,Field check by Johnson
WellData,EB-308,,Romero
WellData,EB-310,,Romero
WellData,EB-312,,Field check by Johnson; WATERS; Mourant
WellData,EB-313,,Field check by Johnson; WATERS
WellData,EB-314,,Field check by Johnson; well/owner records
WellData,EB-315,,Field check by Johnson; owner info
WellData,EB-316,,Field check by Johnson; well/owner records
WellData,EB-321,,Well record; field check with SFC Utilities (Leonard Quintana 490-0065)
WellData,EB-330,,Field check; WATERS
WellData,EB-332,,Field check; well log
WellData,EB-333,,Field check; well logg
WellData,EB-334,,Field check; well log
WellData,EB-335,,Field check; well log
WellData,EB-339,,"Slinglerland & Borton, Geohydro of Avanti Business Park, 8/85 (App F to GGI, Santa Fe Metro, 12/01); lithologic log by GGI, review by D.Koning"
WellData,EB-352,,"Balleau GWA, 1999; field check"
WellData,EB-362,,Well log and well completion diagrams
WellData,EB-363,,Well log and well completion diagrams. WQ data from P. Longmire Santa Fe River 1985 Report
WellData,EB-364,,Well log and well completion diagrams
WellData,EB-365,,Well log and completion diagrams
WellData,EB-366,,"Souder-Miller & Assoc., 1995, Unpublished Consultant's Report, Fig 2, well completion diagram"
WellData,EB-373,,Field check; WATERS
WellData,EB-379,,Field check; well log
WaterLevels,EB-387,SFC,A
WaterLevels,EB-387,SFC,A
WaterLevels,EB-387,SFC,A
WaterLevels,EB-387,SFC,A
WaterLevels,EB-387,SFC,A
WaterLevels,EB-387,SFC,A
WaterLevels,EB-387,SFC,A
WaterLevels,EB-387,SFC,A
WaterLevels,EB-387,SFC,A
WaterLevels,EB-387,SFC,A
WaterLevels,EB-387,SFC,A
WaterLevels,EB-387,SFC,A
WaterLevels,EB-387,SFC,A
WaterLevels,EB-387,SFC,A
WaterLevels,EB-387,SFC,A
WaterLevels,EB-387,SFC,A
WaterLevels,EB-387,SFC,A
WaterLevels,EB-387,SFC,A
WaterLevels,EB-387,SFC,A
WaterLevels,EB-387,SFC,A
WaterLevels,EB-387,SFC,A
WaterLevels,EB-387,SFC,A
WaterLevels,EB-387,SFC,A
WaterLevels,EB-387,SFC,A
WellData,EB-387,,Santa Fe County Utilities field notes;
WaterLevels,EB-388,SFC,A
WaterLevels,EB-388,SFC,A
WaterLevels,EB-388,SFC,A
WaterLevels,EB-388,SFC,A
WaterLevels,EB-388,SFC,A
WaterLevels,EB-388,SFC,A
