WellID,PointID,OBJECTID,DepthToWater,DepthToWaterBGS,LevelStatus,DataQuality,MPHeight,MeasurementMethod,MeasuredBy,DataSource,MeasuringAgency,SiteNotes,LevelStatement,GlobalID,SSMA_TimeStamp,PublicRelease,Geometry,DateMeasured,TimeMeasured,TimeDatum
3E584AB7-96E6-4030-83A3-213252F6F33F,AR-0052,414085,23.26,22.76,,1,0.5,S,SC,S,NMBGMR,Downloaded and removed CTD diver.,,F670DADA-6316-7C4C-AD93-05D9FA4E74A7,0x0000000000060BED,true,,2018-03-28,14:32:00.0000000,MDT
3E584AB7-96E6-4030-83A3-213252F6F33F,AR-0052,408487,16.5,16,,1,0.5,S,SC,S,NMBGMR,Reinstalled CTD diver,,E884B572-FD3E-4D4A-92AE-1AEA639A6F30,0x0000000000068F0B,true,,2017-06-06,09:11:00.0000000,MDT
3E584AB7-96E6-4030-83A3-213252F6F33F,AR-0052,406467,15.85,15.35,,1,0.5,S,SC,S,NMBGMR,Possible datalogger site,,D3CA1797-C685-468B-BDF1-40CD3C3436B8,0x0000000000077B29,true,,2016-10-20,,
3E584AB7-96E6-4030-83A3-213252F6F33F,AR-0052,407151,25.04,24.54,,1,0.5,S,SC,S,NMBGMR,,,FA35FE20-D0D4-4A45-90F2-4737A1D363B1,0x000000000007A33A,true,,2017-03-21,11:30:00.0000000,MDT
3E584AB7-96E6-4030-83A3-213252F6F33F,AR-0052,408501,17.03,16.53,,1,0.5,T,TK,S,NMBGMR,Downloaded & removed CTD diver for cleaning/calibration check,,B3AB4F30-78B4-433F-BDF1-50E6BB62EB68,0x000000000007DF71,true,,2017-05-30,14:25:00.0000000,MDT
3E584AB7-96E6-4030-83A3-213252F6F33F,AR-0052,418538,25.22,24.72,,1,0.5,S,"TK, TN",S,NMBGMR,Downloaded & installed new CTD,,273DD955-A52A-2A41-9237-4F5B08A7264C,0x000000000007D59A,true,,2019-04-02,10:46:00.0000000,MDT
3E584AB7-96E6-4030-83A3-213252F6F33F,AR-0052,414811,14.61,14.11,,1,0.5,S,SC,S,NMBGMR,Downloaded & reinstalled CTD,,12B88621-3442-664E-A8E2-5868A96F2719,0x0000000000080E4F,true,,2018-10-03,15:14:00.0000000,MDT
3E584AB7-96E6-4030-83A3-213252F6F33F,AR-0052,414415,13.62,13.12,,1,0.5,S,SC,S,NMBGMR,Reinstalled CTD diver,,09106D7E-D46C-B049-8BA6-5C5D60F606F0,0x0000000000082749,true,,2018-07-23,14:01:00.0000000,MDT
3E584AB7-96E6-4030-83A3-213252F6F33F,AR-0052,425523,17.98,17.48,,1,0.5,S,SC,S,NMBGMR,CTD missing; well looks altered,,060C1238-3479-8A42-8FF3-742BC9FC9CCC,0x000000000008BD16,true,,2019-10-31,16:08:00.0000000,MDT
3E584AB7-96E6-4030-83A3-213252F6F33F,AR-0052,406581,19.45,18.95,P,1,0.5,S,SC,S,NMBGMR,Installed CTD Diver,,3D13EE4A-7085-4382-959F-B9275E926BE3,0x00000000000A68B5,true,,2016-11-21,12:00:00.0000000,MST
3E584AB7-96E6-4030-83A3-213252F6F33F,AR-0052,407083,24.84,24.34,,1,0.5,T,TK,S,NMBGMR,Reinstalled CTD,,F0B0F3BC-D1BF-4531-A835-D704F9AABADE,0x00000000000B20F5,true,,2017-03-14,12:10:00.0000000,MDT
