Old Table Name,Old Column Name,Reason
abcwells,PointID,No corresponding sheet (expected 'NMAquifer_{old table name}')
abcwells,HoleDepth,No corresponding sheet (expected 'NMAquifer_{old table name}')
abcwells,WellDepth,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working,OBJECTID,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working,SamplePtID,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working,PointID,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working,SiteNames,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working,Easting,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working,Northing,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working,DataReliability,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working,SamplePointID,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working,StudySample,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working,WaterType,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working,SampleType,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working,Altitude,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working,AquiferType,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working,AqClass,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working,WellDepth,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working,FormationZone,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working,CollectionDate,No corresponding sheet (expected 'NMAquifer_{old table name}')
