model|input_count|cleaned_count|transferred|issue_percentage
Well|38541|8180|8157|0.28117359413202936
PointID|Table|Field|Error
NM-23353|WellData||Value error, well casing depth must be less than or equal to hole depth
DA-0047|WellData|PointID|duplicate records
AS-066|WellData||Value error, well casing depth must be less than or equal to hole depth
EB-594|WellData||Value error, well depth must be less than than or equal to hole depth
DA-0047|WellData|PointID|duplicate records
EB-614|WellData||Value error, well casing depth must be less than or equal to hole depth
SV-0125|WellData||Value error, well casing depth must be less than or equal to hole depth
AR-0177|WellData||Value error, well casing depth must be less than or equal to hole depth
QY-0726|WellData||Value error, well casing depth must be less than or equal to hole depth
NM-26883|WellData||Value error, well casing depth must be less than or equal to hole depth
EB-509|WellData||Value error, well depth must be less than than or equal to hole depth
AR-0120|WellData||Value error, well casing depth must be less than or equal to hole depth
SV-0012|WellData||Value error, well depth must be less than than or equal to hole depth
QY-0727|WellData||Value error, well casing depth must be less than or equal to hole depth
EB-363|WellData||Value error, well casing depth must be less than or equal to hole depth
PP-037|WellData||Value error, well casing depth must be less than or equal to hole depth
QY-0288|WellData||Value error, well casing depth must be less than or equal to hole depth
SA-0019|WellData||Value error, well casing depth must be less than or equal to hole depth
NM-23288|WellData||Value error, well casing depth must be less than or equal to hole depth
SM-0049|WellData||Value error, well casing depth must be less than or equal to hole depth
QY-0902|WellData||Value error, well casing depth must be less than or equal to hole depth
EB-316|WellData||Value error, well casing depth must be less than or equal to hole depth
SA-0319|WellData||Value error, well casing depth must be less than or equal to hole depth

WellScreen|3714|2426|2412|0.5770816158285244
PointID|Table|Field|Error
EB-029|WellScreens||screen_depth_bottom: Input should be a valid number
WL-0096|WellScreens||Value error, screen_depth_bottom must be greater than screen_depth_top
WL-0358|WellScreens||screen_depth_bottom: Input should be a valid number
WL-0358|WellScreens||screen_depth_top: Input should be a valid number
NM-27235|WellScreens||Value error, screen_depth_bottom must be greater than screen_depth_top
QY-0622|WellScreens||screen_depth_top: Input should be greater than 0
EB-394|WellScreens||screen_depth_bottom: Input should be a valid number
EB-394|WellScreens||screen_depth_bottom: Input should be a valid number
SA-0318|WellScreens||screen_depth_top: Input should be greater than 0
NM-00253|WellScreens||screen_depth_top: Input should be greater than 0
EB-096|WellScreens||Value error, screen_depth_bottom must be greater than screen_depth_top
SV-0111|WellScreens||Value error, screen_depth_bottom must be greater than screen_depth_top
TB-0107|WellScreens||screen_depth_top: Input should be greater than 0
WL-0359|WellScreens||screen_depth_bottom: Input should be a valid number
WL-0359|WellScreens||screen_depth_top: Input should be a valid number
QY-0494|WellScreens||screen_depth_top: Input should be greater than 0

Sensor|981|750|394|47.46666666666667
PointID|Table|Field|Error
BC-0166|Equipment|RecordingInterval|row.ID=939, row.SerialNo=1JRZ3K9C/363FGBAX. RecordingInterval is not an integer
EB-220|Equipment|RecordingInterval|row.ID=42, row.SerialNo=D2271. RecordingInterval is not an integer
EB-220|Equipment|RecordingInterval|row.ID=43, row.SerialNo=78575. RecordingInterval is not an integer
EB-220|Equipment|RecordingInterval|row.ID=44, row.SerialNo=L1306. RecordingInterval is not an integer
HS-038|Equipment|RecordingInterval|row.ID=42, row.SerialNo=J3409. RecordingInterval is not an integer
HS-038|Equipment|RecordingInterval|row.ID=222, row.SerialNo=A8779. RecordingInterval is not an integer
MG-038|Equipment|RecordingInterval|row.ID=621, row.SerialNo=S1516. RecordingInterval is not an integer
NM-26614|Equipment|RecordingInterval|row.ID=898, row.SerialNo=1234. RecordingInterval is not an integer
SA-0163|Equipment|RecordingInterval|row.ID=45, row.SerialNo=F3471. RecordingInterval is not an integer
SA-0163|Equipment|RecordingInterval|row.ID=44, row.SerialNo=D9762. RecordingInterval is not an integer
SA-0174|Equipment|RecordingInterval|row.ID=47, row.SerialNo=G1547. RecordingInterval is not an integer
SA-0174|Equipment|RecordingInterval|row.ID=48, row.SerialNo=G1241. RecordingInterval is not an integer
SA-0240|Equipment|RecordingInterval|row.ID=586, row.SerialNo=1JRTNRTX. RecordingInterval is not an integer
SM-0033|Equipment|RecordingInterval|row.ID=452, row.SerialNo=78181. RecordingInterval is not an integer
SM-0055|Equipment|RecordingInterval|row.ID=444, row.SerialNo=74683. RecordingInterval is not an integer
SM-0055|Equipment|RecordingInterval|row.ID=445, row.SerialNo=C1362. RecordingInterval is not an integer
SM-0055|Equipment|RecordingInterval|row.ID=136, row.SerialNo=DXT-1715. RecordingInterval is not an integer
SM-0055|Equipment|RecordingInterval|row.ID=135, row.SerialNo=M6991. RecordingInterval is not an integer
SM-0232|Equipment|RecordingInterval|row.ID=448, row.SerialNo=80824. RecordingInterval is not an integer
SM-0235|Equipment|RecordingInterval|row.ID=866, row.SerialNo=1JW82U77. RecordingInterval is not an integer
SM-0235|Equipment|RecordingInterval|row.ID=935, row.SerialNo=14002762. RecordingInterval is not an integer
SM-0243|Equipment|RecordingInterval|row.ID=450, row.SerialNo=D2271. RecordingInterval is not an integer
SM-0246|Equipment|RecordingInterval|row.ID=451, row.SerialNo=D2262. RecordingInterval is not an integer
SM-0246|Equipment|RecordingInterval|row.ID=133, row.SerialNo=M7059. RecordingInterval is not an integer
SM-0257|Equipment|RecordingInterval|row.ID=9, row.SerialNo=801888. RecordingInterval is not an integer
SM-0257|Equipment|RecordingInterval|row.ID=10, row.SerialNo=911226. RecordingInterval is not an integer
SM-0257|Equipment|RecordingInterval|row.ID=1, row.SerialNo=D8999. RecordingInterval is not an integer
SM-0257|Equipment|DateInstalled|row.ID=17, row.SerialNo=B5546. Installation Date cannot be None
SM-0258|Equipment|RecordingInterval|row.ID=7, row.SerialNo=801887. RecordingInterval is not an integer
SM-0258|Equipment|RecordingInterval|row.ID=8, row.SerialNo=911227. RecordingInterval is not an integer
SM-0258|Equipment|RecordingInterval|row.ID=2, row.SerialNo=G1487. RecordingInterval is not an integer
SM-0259|Equipment|RecordingInterval|row.ID=4, row.SerialNo=B5546. RecordingInterval is not an integer
SM-0259|Equipment|RecordingInterval|row.ID=3, row.SerialNo=B6823. RecordingInterval is not an integer
SO-0125|Equipment|RecordingInterval|row.ID=1024, row.SerialNo=BK306. RecordingInterval is not an integer
SO-0125|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0125|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0129|Equipment|RecordingInterval|row.ID=814, row.SerialNo=V3026. RecordingInterval is not an integer
SO-0131|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0131|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0131|Equipment|RecordingInterval|row.ID=1025, row.SerialNo=FB368. RecordingInterval is not an integer
SO-0140|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0140|Equipment|RecordingInterval|row.ID=1026, row.SerialNo=FB466. RecordingInterval is not an integer
SO-0140|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0142|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0142|Equipment|RecordingInterval|row.ID=1027, row.SerialNo=AK438. RecordingInterval is not an integer
SO-0142|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0144|Equipment|RecordingInterval|row.ID=1028, row.SerialNo=BA545. RecordingInterval is not an integer
SO-0144|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0144|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0145|Equipment|RecordingInterval|row.ID=1029, row.SerialNo=BB047. RecordingInterval is not an integer
SO-0145|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0146|Equipment|RecordingInterval|row.ID=1030, row.SerialNo=FB467. RecordingInterval is not an integer
SO-0146|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0146|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0148|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0148|Equipment|RecordingInterval|row.ID=1031, row.SerialNo=FB469. RecordingInterval is not an integer
SO-0148|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0160|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0160|Equipment|RecordingInterval|row.ID=1032, row.SerialNo=FB470. RecordingInterval is not an integer
SO-0160|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0163|Equipment|RecordingInterval|row.ID=1033, row.SerialNo=FB472. RecordingInterval is not an integer
SO-0163|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0163|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0165|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0165|Equipment|RecordingInterval|row.ID=1034, row.SerialNo=FB474. RecordingInterval is not an integer
SO-0165|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0166|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0166|Equipment|RecordingInterval|row.ID=1035, row.SerialNo=FB473. RecordingInterval is not an integer
SO-0167|Equipment|RecordingInterval|row.ID=270, row.SerialNo=0121052330. RecordingInterval is not an integer
SO-0167|Equipment|RecordingInterval|row.ID=802, row.SerialNo=V2998. RecordingInterval is not an integer
SO-0167|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0167|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0167|Equipment|RecordingInterval|row.ID=1036, row.SerialNo=FB463. RecordingInterval is not an integer
SO-0168|Equipment|DateInstalled|row.ID=524, row.SerialNo=9736317. Installation Date cannot be None
SO-0169|Equipment|RecordingInterval|row.ID=801, row.SerialNo=V3063. RecordingInterval is not an integer
SO-0169|Equipment|DateInstalled|row.ID=279, row.SerialNo=9736315. Installation Date cannot be None
SO-0170|Equipment|RecordingInterval|row.ID=803, row.SerialNo=V3070. RecordingInterval is not an integer
SO-0170|Equipment|RecordingInterval|row.ID=1037, row.SerialNo=FB464. RecordingInterval is not an integer
SO-0170|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0170|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0171|Equipment|RecordingInterval|row.ID=813, row.SerialNo=V3318. RecordingInterval is not an integer
SO-0175|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0175|Equipment|RecordingInterval|row.ID=1038, row.SerialNo=AK511. RecordingInterval is not an integer
SO-0175|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0177|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0177|Equipment|RecordingInterval|row.ID=1039, row.SerialNo=BK307. RecordingInterval is not an integer
SO-0177|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0189|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0189|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0189|Equipment|RecordingInterval|row.ID=1040, row.SerialNo=AF158. RecordingInterval is not an integer
SO-0190|Equipment|RecordingInterval|row.ID=1041, row.SerialNo=AK454. RecordingInterval is not an integer
SO-0190|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0191|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0191|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0191|Equipment|RecordingInterval|row.ID=1042, row.SerialNo=FB439. RecordingInterval is not an integer
SO-0194|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0194|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0194|Equipment|RecordingInterval|row.ID=1043, row.SerialNo=FB442. RecordingInterval is not an integer
SO-0200|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0200|Equipment|RecordingInterval|row.ID=1044, row.SerialNo=FB433. RecordingInterval is not an integer
SO-0200|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0204|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0204|Equipment|RecordingInterval|row.ID=1045, row.SerialNo=FB436. RecordingInterval is not an integer
SO-0204|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0213|Equipment|RecordingInterval|row.ID=1046, row.SerialNo=FB478. RecordingInterval is not an integer
SO-0213|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0213|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0215|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0215|Equipment|RecordingInterval|row.ID=1047, row.SerialNo=FB475. RecordingInterval is not an integer
SO-0215|Equipment|EquipmentType|key error adding sensor_type:DiverLink error: 'DiverLink'
SO-0218|Equipment|RecordingInterval|row.ID=800, row.SerialNo=B4849. RecordingInterval is not an integer
SO-0219|Equipment|EquipmentType|key error adding sensor_type:Diver Cable error: 'Diver Cable'
SO-0219|Equipment|RecordingInterval|row.ID=1048, row.SerialNo=FB483. RecordingInterval is not an integer
