Equipment,Location,WaterLevels,WellData,WellScreens,'TWDB_AllCty_WQSites&ChemUsed$',abcwells,AllWQ_CrossTab_NDs_Working,AllWQ_CrossTab_NDs_Working_bak,AR_Distances,AssocDataPhotos,AssociatedData,BCWLs2019,Chemistry SampleInfo,DatatypeWPointid,FieldNotesScans,FieldParameters,GDB_ColumnInfo,GROUNDWATER_LEVELS,HydraulicsData,Location_backup,Location_backupNew,LocationProjectOwnerArchive,LocationsEB,LocationsPS,LocationsSB,LU_AllAnalytes,LU_AllAnalytesUnits,LU_AltitudeDatum,LU_AltitudeMethod,LU_AquiferClass,LU_AquiferType,LU_CollectionMethod,LU_ConstructionMethod,LU_ContributingUnit,LU_CoordinateAccuracy,LU_CoordinateDatum,LU_CoordinateMethod,LU_County,LU_CurrentUse,LU_DataQuality,LU_DataReliability,LU_DataSource,LU_DataType,LU_Depth/CompletionSource,LU_Discharge,LU_Discharge Units,LU_Discharge/ChemistrySource,LU_DischargeMethod,LU_EquipmentType,LU_FieldNoteTypes,LU_FieldParameter,LU_Formations,LU_FPUnits,LU_LevelStatus,LU_Lithology,LU_MajorAnalyte,LU_MajorUnits,LU_MeasurementMethod,LU_MeasuringAgency,LU_MinorTraceAnalyte,LU_MinorTraceUnits,LU_MonitoringStatus,LU_NMQuads,LU_PrimaryUseSite_USGS,LU_PrimaryUseWater_USGS,LU_RadioAnalyte,LU_RadioUnits,LU_SampleType,LU_SiteType,LU_Status,LU_Subsurface,LU_TimeDatum,MajorChemistry,MinorandTraceChemistry,NGWMN_Lithology,OwnerLink,OwnersData,PointIdTemp,ProjectLocations,Projects,Radionuclides,SaltBasinWLs,SelectedObjects,Selections,SITESWITHWATERLEVELS,SITEWATERLEVELS,Soil_Rock_Results,Stratigraphy,SurfaceWaterData,SurfaceWaterData_Corrupt_DataMissing,SurfaceWaterPhotos,sysdiagrams,Tbl_PublicReleaseSitesInfo,Tbl_PublicReleaseSitesInfo_ProjectNameIncluded,Tbl_TaosWLS,Tbl_TaosWSC,tblAudit,TblLoadPDF,Temp_forDTW_bgs,USGS_WLs_2018_ForSitesInDB,usgswls,view_SITEWATERLEVELS_Date,WaterLevels_archive,WaterLevels_bak,WaterLevelsContinuous_Acoustic,WaterLevelsContinuous_Acoustic_Daily,WaterLevelsContinuous_Pressure,WaterLevelsContinuous_Pressure_Daily,WaterLevelsContinuous_Pressure_Test,WeatherData,WeatherPhotos,WellPhotos,wlsbcw3
LocationId (N/A),DateCreated (yes),WellID (N/A),LocationId (N/A),WellID (N/A),ID (pending),PointID (pending),OBJECTID (pending),OBJECTID (pending),ID (pending),AssocID (pending),LocationId (pending),ID (pending),SamplePtID (pending),LocationId (pending),LocationId (pending),SamplePtID (pending),TableName (pending),OBJECTID (pending),WellID (pending),LocationId (pending),LocationId (pending),LocationId (pending),LocationId (pending),LocationId (pending),LocationId (pending),CODE (pending),CODE (pending),CODE (pending),CODE (pending),CODE (pending),CODE (pending),CODE (pending),CODE (pending),CODE (pending),CODE (pending),DATUMCODE (pending),CODE (pending),COUNTY (pending),CODE (pending),CODE (pending),CODE (pending),CODE (pending),CODE (pending),CODE (pending),Discharge (pending),UNITS (pending),CODE (pending),CODE (pending),MEANING (pending),NoteType_id (pending),CODE (pending),Code (pending),CODE (pending),CODE (pending),TERM (pending),CODE (pending),CODE (pending),CODE (pending),Agency (pending),CODE (pending),CODE (pending),CODE (pending),QuadName (pending),CODE (pending),CODE (pending),CODE (pending),CODE (pending),CODE (pending),CODE (pending),CODE (pending),CODE (pending),MEANING (pending),SamplePtID (pending),SamplePtID (pending),PointID (pending),LocationId (pending),OwnerKey (pending),PointID (pending),LocationId (pending),Project (pending),SamplePtID (pending),ID (pending),SelectionID (pending),SelectionID (pending),PointID (pending),PointID (pending),Point_ID (pending),WellID (pending),LocationId (pending),LocationId (pending),SurfaceID (pending),name (pending),ObjectID (pending),ObjectID (pending),LocationId (pending),LocationId (pending),strguid (pending),OleID (pending),PointID (pending),PointID (pending),ID (pending),PointID (pending),WellID (pending),WellID (pending),GlobalID (pending),GlobalID (pending),GlobalID (pending),GlobalID (pending),GlobalID (pending),LocationId (pending),WeatherID (pending),WellID (pending),ID (pending)
PointID (N/A),PointID (yes),PointID (N/A),OBJECTID (N/A),PointID (N/A),AlternateSiteID (pending),HoleDepth (pending),SamplePtID (pending),SamplePtID (pending),RiverDistance (pending),PointID (pending),PointID (pending),MeasureMethod (pending),WCLab_ID (pending),PointID (pending),PointID (pending),SamplePointID (pending),FieldName (pending),PointID (pending),PointID (pending),DateCreated (pending),DateCreated (pending),PointID (pending),DateCreated (pending),DateCreated (pending),DateCreated (pending),MEANING (pending),MEANING (pending),id (pending),MEANING (pending),MEANING (pending),MEANING (pending),MEANING (pending),MEANING (pending),MEANING (pending),MEANING (pending),id (pending),MEANING (pending),id (pending),MEANING (pending),MEANING (pending),MEANING (pending),MEANING (pending),MEANING (pending),MEANING (pending),id (pending),id (pending),MEANING (pending),MEANING (pending),id (pending),FieldNoteType (pending),MEANING (pending),Meaning (pending),MEANING (pending),MEANING (pending),ABBREVIATION (pending),MEANING (pending),MEANING (pending),MEANING (pending),Description (pending),MEANING (pending),MEANING (pending),MEANING (pending),id (pending),MEANING (pending),MEANING (pending),MEANING (pending),MEANING (pending),MEANING (pending),MEANING (pending),MEANING (pending),MEANING (pending),id (pending),SamplePointID (pending),SamplePointID (pending),Lithology (pending),OwnerKey (pending),Company (pending),WDBID (pending),PointID (pending),PointIDPrefix (pending),SamplePointID (pending),PointID (pending),ObjectID (pending),TargetName (pending),SiteID (pending),DateMeasued (pending),Sample Type (pending),PointID (pending),SurfaceID (pending),SurfaceID (pending),PointID (pending),principal_id (pending),PointID (pending),PointID (pending),PointID (pending),PointID (pending),Objectid2 (pending),WellPdf (pending),DateMeasured (pending),USGS_Site_ID (pending),agency (pending),DateMeasued (pending),PointID (pending),PointID (pending),OBJECTID (pending),OBJECTID (pending),OBJECTID (pending),OBJECTID (pending),OBJECTID (pending),PointID (pending),PointID (pending),PointID (pending),MeasureMethod (pending)
EquipmentType (no),SiteNames (yes),OBJECTID (N/A),PointID (N/A),counter (N/A),Date (pending),WellDepth (pending),PointID (pending),PointID (pending),COBorderDistance (pending),OLEPath (pending),AssocID (pending),Well IDKey (pending),SamplePointID (pending),DataType (pending),NoteType_id (pending),FieldParameter (pending),columnFlags (pending),DataReliability (pending),HydraulicUnit (pending),PointID (pending),PointID (pending),ProjectName (pending),PointID (pending),PointID (pending),PointID (pending),id (pending),id (pending),,id (pending),id (pending),id (pending),id (pending),id (pending),id (pending),id (pending),,id (pending),,id (pending),id (pending),id (pending),id (pending),id (pending),id (pending),,,id (pending),id (pending),,,id (pending),id (pending),id (pending),id (pending),id (pending),id (pending),id (pending),id (pending),id (pending),id (pending),id (pending),id (pending),,id (pending),id (pending),id (pending),id (pending),id (pending),id (pending),id (pending),id (pending),,Analyte (pending),Analyte (pending),TERM (pending),OBJECTID (pending),LastName (pending),LocationId (pending),ProjectName (pending),,Analyte (pending),DateMeasured (pending),,,Expr1 (pending),DepthToWaterBGS (pending),Date Sampled (pending),StratTop (pending),PointID (pending),PointID (pending),OLEPath (pending),diagram_id (pending),SiteID (pending),SiteID (pending),Easting (pending),Easting (pending),FieldChanged (pending),WellOLE (pending),DepthToWater (pending),Formatted_WL_Date (pending),usgsno (pending),DepthToWaterBGS (pending),OBJECTID (pending),OBJECTID (pending),WellID (pending),WellID (pending),WellID (pending),WellID (pending),WellID (pending),WeatherID (pending),OLEPath (pending),OLEPath (pending),Well IDKey (pending)
DateInstalled (yes),SiteID (yes),DepthToWater (yes),OSEWellID (yes),ScreenTop (yes),CollectionNotes (pending),,SiteNames (pending),SiteNames (pending),LocationID (pending),OBJECTID (pending),Notes (pending),Well Name (pending),AnalysesAgency (pending),,OLEPath (pending),SampleValue (pending),,Easting (pending),TestTop (pending),SiteNames (pending),SiteNames (pending),OwnerKey (pending),SiteNames (pending),SiteNames (pending),SiteNames (pending),,,,,,,,,,,,,,,SHORT_MEANING (pending),,,,,,,,,,,,,,WebDataEntryVisible (pending),,,,WebDataEntryVisible (pending),,,,,,,,,,,,,,,Symbol (pending),Symbol (pending),StratSource (pending),GlobalID (pending),FirstName (pending),,OBJECTID (pending),,Symbol (pending),DepthToWater (pending),,,DataReliability (pending),MeasurementMethod (pending),d13C (pending),StratBottom (pending),Discharge (pending),Discharge (pending),OBJECTID (pending),version (pending),Easting (pending),Easting (pending),Northing (pending),Northing (pending),FieldChangedFrom (pending),SurfaceWaterOLE (pending),DepthToWaterBGS (pending),WL_Time (pending),date (pending),MeasurementMethod (pending),DateMeasured_old (pending),DepthToWater (pending),PointID (pending),PointID (pending),PointID (pending),PointID (pending),PointID (pending),OBJECTID (pending),OBJECTID (pending),OBJECTID (pending),Well Name (pending)
DateRemoved (yes),AlternateSiteID (yes),DepthToWaterBGS (N/A),OSEWelltagID (yes),ScreenBottom (yes),SampleNumber (pending),,Easting (pending),Easting (pending),SSMA_TimeStamp (pending),GlobalID (pending),Formation (pending),Status (pending),StudySample (pending),,OBJECTID (pending),Units (pending),,Northing (pending),TestBottom (pending),SiteID (pending),SiteID (pending),,SiteID (pending),SiteID (pending),SiteID (pending),,,,,,,,,,,,,,,WebDataEntryVisible (pending),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SampleValue (pending),SampleValue (pending),StratTop (pending),,Phone (pending),,GlobalID (pending),,SampleValue (pending),LevelStatus (pending),,,Easting (pending),LevelStatus (pending),d18O (pending),UnitIdentifier (pending),DischargeMethod (pending),DischargeMethod (pending),GlobalID (pending),definition (pending),Northing (pending),Northing (pending),UTMDatum (pending),UTMDatum (pending),FieldChangedTo (pending),WeatherOLE (pending),SSMA_TimeStamp (pending),WL_Time_Datum (pending),WL (pending),LevelStatus (pending),DepthToWater (pending),DepthToWaterBGS (pending),DateMeasured (pending),DateMeasured (pending),DateMeasured (pending),DateMeasured (pending),DateMeasured (pending),,GlobalID (pending),GlobalID (pending),Status (pending)
SerialNo (yes),AlternateSiteID2 (yes),LevelStatus (yes),HoleDepth (yes),OBJECTID (N/A),ParameterDescription (pending),,Northing (pending),Northing (pending),DitchDistance (pending),,OBJECTID (pending),MeasureDate (pending),DataQuality (pending),,GlobalID (pending),Notes (pending),,Altitude (pending),HydraulicUnitType (pending),AlternateSiteID (pending),AlternateSiteID (pending),,AlternateSiteID (pending),AlternateSiteID (pending),AlternateSiteID (pending),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Units (pending),Units (pending),StratBottom (pending),,CellPhone (pending),,,,Units (pending),MeasurementMethod (pending),,,Northing (pending),DataSource (pending),Sampled by (pending),Lithology (pending),DischargeRate (pending),DischargeRate (pending),,,Altitude (pending),Altitude (pending),Altitude (pending),Altitude (pending),User (pending),AssociatedOLD (pending),,Time_Datum_Reliability (pending),PointID (pending),DataSource (pending),DepthToWaterBGS (pending),LevelStatus (pending),TemperatureAir (pending),TemperatureAir (pending),TemperatureWater (pending),TemperatureWater (pending),TemperatureWater (pending),,,,MeasureDate (pending)
Model (yes),SiteDate (yes),DataQuality (no),WellDepth (yes),GlobalID (no),ParameterFlag (pending),,DataReliability (pending),DataReliability (pending),PointID (pending),,,BTW_bgs (pending),SampleType (pending),,,OBJECTID (pending),,HoleDepth (pending),Hydraulic Remarks (pending),SiteDate (pending),SiteDate (pending),,SiteDate (pending),SiteDate (pending),SiteDate (pending),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uncertainty (pending),Uncertainty (pending),,,Email (pending),,,,Uncertainty (pending),DataSource (pending),,,Altitude (pending),MeasuringAgency (pending),SSMA_TimeStamp (pending),LithologicModifier (pending),DischargeUnits (pending),DischargeUnits (pending),,,OSEWellID (pending),OSEWellID (pending),County (pending),County (pending),DateOfHit (pending),,,Added_day_to_WL_date (pending),,MeasuringAgency (pending),LevelStatus (pending),DataQuality (pending),DepthToWaterBGS (pending),DepthToWaterBGS (pending),WaterHead (pending),WaterHead (pending),WaterHead (pending),,,,BTW_bgs (pending)
HangingCableLength (no),DataReliability (no),MPHeight (yes),DepthSource (no),WDBID (pending),ParameterValue (pending),,SamplePointID (pending),SamplePointID (pending),,,,PointID (pending),CollectionDate (pending),,,GlobalID (pending),,WellDepth (pending),T (ft2/d) (pending),DataReliability (pending),DataReliability (pending),,DataReliability (pending),DataReliability (pending),DataReliability (pending),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AnalysisMethod (pending),AnalysisMethod (pending),,,MailingAddress (pending),,,,AnalysisMethod (pending),,,,HoleDepth (pending),,,ContributingUnit (pending),DateMeasured (pending),DateMeasured (pending),,,HoleDepth (pending),HoleDepth (pending),State (pending),State (pending),Form (pending),,,Added_month_day_to_WL_date (pending),,,DataQuality (pending),MPHeight (pending),MeasurementMethod (pending),MeasurementMethod (pending),WaterHeadAdjusted (pending),WaterHeadAdjusted (pending),WaterHeadAdjusted (pending),,,,PointID (pending)
HangingPointDescription (no),Confidential (yes? (see Note column)),MeasurementMethod (yes),CompletionDate (no),ScreenDescription (pending),ParameterUnit (pending),,StudySample (pending),StudySample (pending),,,,Source (pending),CollectionMethod (pending),,,AnalysesAgency (pending),,StaticWater (pending),S (dimensionless) (pending),Confidential (pending),Confidential (pending),,Confidential (pending),Confidential (pending),Confidential (pending),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AnalysisDate (pending),AnalysisDate (pending),,,MailCity (pending),,,,AnalysisDate (pending),,,,WellDepth (pending),,,StratSource (pending),DischargeSource (pending),DischargeSource (pending),,,WellDepth (pending),WellDepth (pending),PublicRelease (pending),PublicRelease (pending),glblguid (pending),,,WL__BGS_ (pending),,,MPHeight (pending),MeasurementMethod (pending),DataSource (pending),DataSource (pending),DepthToWaterBGS (pending),DepthToWaterBGS (pending),DepthToWaterBGS (pending),,,,
